day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,1.0,0.0,1.0,1.0
2022-01-01,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-05,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-08,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-01-10,-0.9028827642871855,1.0,2.2098414430026825,1.0,1.0
2022-01-11,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-14,0.15229474010430413,1.0,-0.5089351097440907,1.0,1.0
2022-01-20,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-01-28,1.502875573185903,1.0,-0.5089351097440907,1.0,1.0
2022-01-31,0.6481571879571415,0.7366468832597026,-0.3662015985561127,1.0,2.0
2022-02-01,-0.5143886226080698,0.8329470909660376,-0.4774104654996797,0.07764435130690518,2.0
2022-02-02,-0.30674538675979507,0.370124953400728,0.019642029840956903,0.5955629387102896,3.0
2022-02-03,-0.241508541263214,1.0,1.2476476511384247,1.0,1.0
2022-02-06,0.15229474010430413,1.0,-0.5089351097440907,1.0,1.0
2022-02-14,0.39835780445041274,0.3833772072320488,-0.3943546083629246,0.03981436829041608,2.0
2022-02-16,0.11344432694396378,0.0549427811951515,1.2872357752579502,2.540169225909571,2.0
2022-02-21,-2.250198353423573,0.12333591998884513,-0.5213599806255037,0.01757142091122878,2.0
2022-02-22,0.15229474010430413,1.0,-0.5089351097440907,1.0,1.0
2022-02-24,0.6203676975298186,1.0,-0.46846639165702153,1.0,1.0
2022-03-02,-2.0923688145234838,1.0,-0.4225076181697364,1.0,1.0
2022-03-07,1.1652303649155034,1.0,1.7128247275022825,1.0,1.0
2022-03-08,0.6479666904870072,1.0,-0.43341423973442295,1.0,1.0
2022-03-09,-0.1722304750229131,1.0,-0.5,1.0,1.0
2022-03-11,1.309935454174246,1.0,-0.5089351097440907,1.0,1.0
2022-03-12,-0.5627983763798752,1.7866698832842942,-0.6574089540543602,0.4118293916084249,2.0
2022-03-15,2.0071638170182893,1.0,-0.6767399325900916,1.0,1.0
2022-03-16,1.8174551023048875,1.0,-0.21320071635561047,1.0,1.0
2022-03-17,1.3450386570561275,1.0,-0.728473835621095,1.0,1.0
2022-03-18,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-03-19,0.5502337355658466,0.5627707243788389,-0.5089351097440907,0.0,2.0
2022-03-23,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-03-28,0.11244120166693641,0.5248209870093203,-0.4082482904638631,1.0,2.0
2022-03-30,0.5773502691896256,1.0,,1.0,1.0
2022-04-04,1.220619898466763,1.0,1.7401496977748456,1.0,1.0
2022-04-06,-1.3712747840958466,0.9392753974085851,-0.5148509050631183,1.0,2.0
2022-04-10,0.7413457330658614,1.0,,1.0,1.0
2022-04-12,0.35120915138915065,0.39119302058079275,-0.41537795431679975,0.01008286731598426,2.0
2022-04-13,0.07531348250725102,1.0,-0.43341423973442295,1.0,1.0
2022-04-17,-0.241508541263214,1.0,-0.6767399325900916,1.0,1.0
2022-04-19,0.05929463311851094,0.7326413065955907,-0.3662015985561127,1.0,2.0
2022-04-23,0.6844153709703462,1.0,-0.6767399325900916,1.0,1.0
2022-04-27,-0.40919462043830346,0.5903743546965466,-0.5264687620582399,0.011689101542766098,4.0
2022-04-28,-0.1839668845342387,1.0,-0.46721941613353457,1.0,1.0
2022-04-29,1.950474199650102,1.0,-0.3662015985561127,1.0,1.0
2022-04-30,-0.6101971985932574,0.697453303416132,-0.5719574115911683,0.05606522213663589,2.0
2022-05-01,-0.3361375837386388,0.5808620542897945,-0.4225076181697364,0.0,2.0
2022-05-05,0.6405941900087794,0.6655570001623601,0.2149599596631336,1.2589497433812544,3.0
2022-05-09,0.30502717832742415,1.0,-0.5337848515069167,1.0,1.0
2022-05-10,-0.11139141183000613,1.0,0.6698354943455478,1.0,1.0
2022-05-11,0.9627597506481205,1.988759441488631,-0.31785416726267346,0.14800232962191537,2.0
2022-05-13,-0.241508541263214,1.0,-0.6767399325900916,1.0,1.0
2022-05-16,-1.0776340354224943,1.0,-0.4840725441531519,1.0,1.0
2022-05-18,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-05-19,-0.601908264817458,0.48542171676689494,-0.41537795431679975,0.01008286731598426,2.0
2022-05-20,0.3626820714999033,0.8544545588281113,-0.549623775379914,0.17976939352338359,2.0
2022-05-21,0.7884169301671411,1.0,-0.4225076181697364,1.0,1.0
2022-05-25,0.5830704360107285,0.6446003159262719,2.170083546999187,1.4769377621310629,2.0
2022-05-26,-0.241508541263214,1.0,-0.6767399325900916,1.0,1.0
2022-05-27,0.6844153709703462,1.0,-0.6767399325900916,1.0,1.0
2022-05-29,-1.3179169171314622,1.0,1.6686658937966097,1.0,1.0
2022-06-07,-1.0885058711061055,0.5431080339544871,1.489793173652344,0.3424454820071043,2.0
2022-06-09,1.5992564782262573,1.0,-0.9508202068202187,1.0,1.0
2022-06-10,0.520733299023322,1.0,1.3304495210451273,1.0,1.0
2022-06-13,-0.4435055365772614,1.0,-0.21320071635561047,1.0,1.0
2022-06-15,-0.3425070389202377,0.14283344516587018,0.5172234673914071,1.0329757869403298,2.0
2022-06-17,0.5233339930761117,0.9755202986490104,-0.42944714764760167,0.3733354965441801,3.0
2022-06-18,-0.41787500073627315,1.0,0.1785434379559155,1.0,1.0
2022-06-19,0.6844153709703462,1.0,-0.6767399325900916,1.0,1.0
