day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-01-01,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-05,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-08,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-01-10,-0.8971797814599966,1.0,2.251611340127855,1.0,1.0
2022-01-11,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01-14,0.15229474010430408,1.0,-0.5089351097440907,1.0,1.0
2022-01-20,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-01-28,1.502875573185903,1.0,-0.5089351097440907,1.0,1.0
2022-01-31,0.6481571879571415,0.7366468832597026,-0.3662015985561127,1.0,2.0
2022-02-01,-0.5201046087435283,0.8410307160811397,-0.47788533747861894,0.078315921699912,2.0
2022-02-02,-0.30485760885707724,0.36784927353277125,0.02331473055267082,0.5993595371194701,3.0
2022-02-03,-0.23701840246556252,1.0,1.2753832024423022,1.0,1.0
2022-02-06,0.15229474010430408,1.0,-0.5089351097440907,1.0,1.0
2022-02-14,0.39835780445041274,0.3833772072320488,-0.3943546083629246,0.03981436829041614,2.0
2022-02-16,0.11344432694396378,0.054942781195151426,1.2872357752579502,2.540169225909571,2.0
2022-02-21,-2.2488982945547624,0.12149735910468855,-0.5196657357272205,0.015175396798095162,2.0
2022-02-22,0.15229474010430408,1.0,-0.5089351097440907,1.0,1.0
2022-02-24,0.6127788135374366,1.0,-0.47048174555218136,1.0,1.0
2022-03-02,-2.0923688145234838,1.0,-0.4225076181697365,1.0,1.0
2022-03-07,1.1652303649155034,1.0,1.7128247275022825,1.0,1.0
2022-03-08,0.6477397522598469,1.0,-0.4314375885338164,1.0,1.0
2022-03-09,-0.1722304750229131,1.0,-0.5,1.0,1.0
2022-03-11,1.309935454174246,1.0,-0.5089351097440907,1.0,1.0
2022-03-12,-0.5627983763798753,1.7866698832842942,-0.6574089540543603,0.4118293916084251,2.0
2022-03-15,2.007530286115513,1.0,-0.6770730729288034,1.0,1.0
2022-03-16,1.8174551023048875,1.0,-0.21320071635561047,1.0,1.0
2022-03-17,1.3450386570561275,1.0,-0.7284738356210949,1.0,1.0
2022-03-18,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-03-19,0.5502337355658465,0.5627707243788389,-0.5089351097440907,0.0,2.0
2022-03-23,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-03-28,0.11244120166693641,0.5248209870093203,-0.4082482904638631,1.0,2.0
2022-03-30,0.5773502691896256,1.0,,1.0,1.0
2022-04-04,1.2187772313456426,1.0,1.7348833481887964,1.0,1.0
2022-04-06,-1.3712747840958466,0.9392753974085851,-0.5148509050631183,1.0,2.0
2022-04-10,0.7413457330658614,1.0,,1.0,1.0
2022-04-12,0.35120915138915065,0.39119302058079275,-0.4153779543167998,0.01008286731598432,2.0
2022-04-13,0.0767022731740509,1.0,-0.4314375885338164,1.0,1.0
2022-04-17,-0.23701840246556252,1.0,-0.6770730729288034,1.0,1.0
2022-04-19,0.05929463311851094,0.7326413065955907,-0.3662015985561127,1.0,2.0
2022-04-23,0.687207528126645,1.0,-0.6770730729288034,1.0,1.0
2022-04-27,-0.4172295244979855,0.585017751990092,-0.5271810700266487,0.012163973521705332,4.0
2022-04-28,-0.18857277477795592,1.0,-0.4709767929324758,1.0,1.0
2022-04-29,1.950474199650102,1.0,-0.3662015985561127,1.0,1.0
2022-04-30,-0.6145213025572147,0.7075053471753964,-0.5789070734642083,0.06455038742538266,2.0
2022-05-01,-0.33613758373863867,0.5808620542897944,-0.4225076181697365,0.0,2.0
2022-05-05,0.6404361621144476,0.6653991624175871,0.2519315939571414,1.3229863242264719,3.0
2022-05-09,0.30374736060221263,1.0,-0.5303963617103502,1.0,1.0
2022-05-10,-0.10147612497635752,1.0,0.6736606777728805,1.0,1.0
2022-05-11,0.9627597506481205,1.988759441488631,-0.31785416726267346,0.14800232962191537,2.0
2022-05-13,-0.23701840246556252,1.0,-0.6770730729288034,1.0,1.0
2022-05-16,-1.0716755612042952,1.0,-0.4867448020407953,1.0,1.0
2022-05-18,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-05-19,-0.6019082648174578,0.4854217167668948,-0.4153779543167998,0.01008286731598428,2.0
2022-05-20,0.3649271408987291,0.8512795512358231,-0.5497903455492699,0.18000495931597352,2.0
2022-05-21,0.7884169301671412,1.0,-0.4225076181697365,1.0,1.0
2022-05-25,0.5830704360107285,0.6446003159262719,2.170083546999187,1.4769377621310629,2.0
2022-05-26,-0.23701840246556252,1.0,-0.6770730729288034,1.0,1.0
2022-05-27,0.687207528126645,1.0,-0.6770730729288034,1.0,1.0
2022-05-29,-1.3118753047624618,1.0,1.7795807966786332,1.0,1.0
2022-06-07,-1.0819585858841094,0.5413994439143222,1.5065609039507868,0.32693464079153806,2.0
2022-06-09,1.5992564782262573,1.0,-0.9508202068202187,1.0,1.0
2022-06-10,0.5207332990233221,1.0,1.3304495210451273,1.0,1.0
2022-06-13,-0.4435055365772614,1.0,-0.21320071635561047,1.0,1.0
2022-06-15,-0.34026196952141197,0.14600845275815835,0.5310912430433459,1.052587783347249,2.0
2022-06-17,0.5238609691238968,0.9743209047066687,-0.4338747210232395,0.37666310520973284,3.0
2022-06-18,-0.41306143686407826,1.0,0.19068527168057675,1.0,1.0
2022-06-19,0.687207528126645,1.0,-0.6770730729288034,1.0,1.0
2022-06-20,-1.200090044044087,1.0,-0.4225076181697365,1.0,1.0
