week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-00,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-01,-0.06569704784605011,0.2728954585706524,-0.3872249445099879,0.02973150097443182,2.0
2022-02,-0.2058719532971406,0.598820886915065,0.45882487727588384,1.5542379772232349,3.0
2022-03,-0.25866327715637094,1.0,-0.4082482904638631,1.0,1.0
2022-04,1.502875573185903,1.0,-0.5089351097440907,1.0,1.0
2022-05,-0.08257681450058484,0.6323227107385765,-0.06069749864464084,0.673288729579741,9.0
2022-07,0.2559010656971883,0.2775923161132295,0.4464405834475128,1.7589571814446001,4.0
2022-08,-0.933180758866946,1.5324528197281073,-0.5046870816876783,0.024947034454103137,4.0
2022-09,-2.0923688145234838,1.0,-0.4225076181697365,1.0,1.0
2022-10,0.30417972392782205,1.1656280959776146,-0.17372764648072417,0.9467640285200157,6.0
2022-11,1.001971373241975,0.9064107233962588,-0.5074776891429256,0.18657521238598207,6.0
2022-12,0.12726918146427071,1.0,-0.3662015985561127,1.0,1.0
2022-13,0.26741089084116615,0.45800147149435083,-0.4082482904638631,1.0,3.0
2022-14,-0.19560665094504734,1.474787095049885,0.6100162215628391,1.5908023463420826,4.0
2022-15,0.13552554337169742,0.3597777024695101,-0.4848166425240549,0.12852624309204874,4.0
2022-16,0.2685989314545556,0.6323025462315324,-0.521637335742458,0.21981932760638967,3.0
2022-17,-0.18083344457115028,0.8853860123890374,-0.4948732054863073,0.07491490807713179,10.0
2022-18,0.6404361621144476,0.6653991624175871,0.2519315939571414,1.3229863242264719,3.0
2022-19,0.37815446689130666,1.1459396115216267,-0.233903418278324,0.5347850369150282,5.0
2022-20,-0.08999309963004873,0.7832451484307121,-0.4579700883569692,0.10287579507774205,7.0
2022-21,0.06089093858401555,0.9119158441230176,0.95312034896388,1.6689399375917169,5.0
2022-23,-0.010981848629659868,1.3494053219684694,0.8481877805316206,1.2169364162450096,4.0
2022-24,0.09021244037677151,0.7318502093828564,-0.117378774323358,0.6492380170950348,8.0
2022-25,-0.2620895623250254,1.093765454727906,-0.5241858119889228,0.17987296318890797,11.0
2022-26,0.02342435928153733,0.7360391780347892,-0.457018879709037,0.24801033225443228,11.0
2022-27,-0.4430473658850919,0.9298205077151547,-0.09047958562680353,0.9562988863071815,22.0
2022-28,-0.17067710602604094,1.1260913073879675,-0.4359893539785492,0.4635606954510897,25.0
2022-29,-0.16537001928083436,0.9090855803419697,-0.2991361654257306,0.7931663801500456,19.0
2022-30,-0.3272258902460634,0.8520921854630802,0.507746047912434,1.364256475917782,17.0
2022-31,-0.43378632206666323,0.6719081138306386,0.06351333792782697,1.3047619847508363,19.0
2022-32,-0.3119170923168351,0.8011060940687368,0.0811801068655247,0.8890022602432407,15.0
2022-33,0.09567460807318158,0.46234010973571454,-0.11740728747546407,0.8507084537221095,7.0
2022-34,0.002200812941153263,1.075157760784291,-0.023163085254974517,0.836237555738945,15.0
2022-35,-0.5220455694557191,1.1790439818435077,-0.0770123406328297,0.9183152283664674,14.0
2022-36,-0.292062953680651,0.75426768038726,-0.10289788041126782,1.0441386555159982,17.0
2022-37,0.5442305144120202,1.6077157595391722,0.12197481086451782,1.093195187466579,12.0
2022-38,-0.3738368167149302,0.8471228685403305,-0.15949545230011306,0.8329500398844286,39.0
2022-39,-0.08409936647429937,0.9402905322673153,-0.0622823706083249,0.8916360585717432,263.0
2022-40,-0.015075724813414923,1.0094860837739077,0.0026443967816753653,1.0129702014881303,428.0
2022-41,-0.009222083221103867,1.0234660661811517,-0.009874502011852504,1.0329822460347127,808.0
2022-42,0.0364043016597652,0.9727216059444059,-0.030035739804689345,0.9519227067903476,1193.0
2022-43,-0.02259090782387658,0.9644310617412557,-0.04366092506705205,0.9421820217102385,1085.0
2022-44,0.023680949655741964,0.9710589046855511,0.059667118354867044,1.0180171665651692,945.0
2022-45,0.03708888470190837,1.0381075750643793,0.067794344620356,1.0417468216697985,964.0
2022-46,0.018786472942535753,0.9951793765391191,0.04266482163638765,1.03551888830662,517.0
2022-47,0.16929703332641988,0.6462591060997568,0.09814589165298253,1.0782044138768636,5.0
